Name,Brand,SKU,MPN,base_price,MSRP,Image
"Master Bilt MSC-49AN 49""W COLDIN-3 Display Freezer",Master Bilt,MSC-49AN,MSC49-AA,944.26,,
Summit FOCUS131 12.4 Cu. Ft. Angled Top White Chest Style Ice Cream Freezer - 115 Volts,Summit,FOCUS131,FOCUS131,1493.00,,
Summit NOVA53GDC 17.8 Cu. Ft. White Stainless Steel Free Standing Ice Cream Freezer - 115 Volts,Summit,NOVA53GDC,NOVA53GDC,2699.00,,
Kelvinator KCNF073WS 7 Cu. Ft. White Ice Cream Display Freezer - 115 Volts,Kelvinator,KCNF073WS,KCNF073WS,1151.69,,
"Master Bilt MSF-71AN 71""W White Zinc-Coated Enamel Steel COLDIN-3 Display Freezer",Master Bilt,MSF-71AN,MSF-71AN,1399.00,,
"Master Bilt MSF-31AN 31""W COLDIN-3 Display Freezer",Master Bilt,MSF-31AN,MSF-31AN,695.51,,
"Master Bilt MSF-52AN 52"" White Flat Tempered Glass Sliding Lids COLDIN-3™ Display Freezer - 115V",Master Bilt,MSF-52AN,MSF-52AN,904.46,,
Summit NOVA61 21.3 Flat Top White Chest Style Ice Cream Freezer - 115 Volts,Summit,NOVA61,NOVA61,1744.00,,
Summit NOVA45 14.1 Cu. Ft. Flat Top White Chest Style Ice Cream Freezer - 115 Volts,Summit,NOVA45,NOVA45,1579.00,,
"Master Bilt MSC-41AN 41""W COLDIN-3 Display Freezer",Master Bilt,MSC-41AN,MSC41-AA,834.81,,
"Admiral Craft BDCF-19-CG 71.26"" W Hinged Lid Black Diamond Chest Freezer",Admiral Craft,BDCF-19-CG,BDCF-19-CG,1428.25,,
Kelvinator KCNF140WH 15 Cu. Ft. White Ice Cream Display Freezer - 115 Volts,Kelvinator,KCNF140WH,KCNF140WH,1880.82,,
Omcan USA 47754 9.3 Cu. Ft. Aluminum Interior Ice Cream Freezer - 110-120 Volts,Omcan USA,47754,47754,2734.04,,
"Beverage Air NC43HC-1-W 42.5""W Novelty Case",Beverage Air,NC43HC-1-W,NC43HC-1-W,2299.50,,
Kelvinator KCNF170WH 18 Cu. Ft. White Ice Cream Display Freezer - 115 Volts,Kelvinator,KCNF170WH,KCNF170WH,2093.44,,
"Beverage Air NC68HC-1-W 68.1""W Novelty Case",Beverage Air,NC68HC-1-W,NC68HC-1-W,2801.12,,
Summit NOVA45GDC 14.1 Cu. Ft. White Stainless Steel Free Standing Ice Cream Freezer - 115 Volts,Summit,NOVA45GDC,NOVA45GDC,2437.00,,
Summit NOVA35GDC 11.7 Cu. Ft. White Stainless Steel Free Standing Ice Cream Freezer - 115 Volts,Summit,NOVA35GDC,NOVA35GDC,2175.00,,
"Turbo Air TFS-11F-N 40""W Flat Lid Glass Door Top Open Island Freezer",Turbo Air,TFS-11F-N,TFS-11F-N,4332.97,,
"Master Bilt MSC-66AN 66.5""W COLDIN-3 Display Freezer",Master Bilt,MSC-66AN,MSC-66AN,1232.81,,
"Omcan USA 45293 45.7"" W White Aluminum Flat Glass Ice Cream Freezer",Omcan USA,45293,45293,2226.46,,
"Master Bilt MSF-43AN 43""W COLDIN-3 Display Freezer",Master Bilt,MSF-43AN,MSF-43AN,814.91,,
"Beverage Air NC34HC-1-W 33.81""W Novelty Case",Beverage Air,NC34HC-1-W,NC34HC-1-W,2136.89,,
"Turbo Air TFS-25F-N 69""W Flat Glass Door Top Open Island Freezer",Turbo Air,TFS-25F-N,TFS-25F-N,6755.49,,
Summit FOCUS151 14.8 Cu. Ft. Angled Top White Chest Style Ice Cream Freezer - 115 Volts,Summit,FOCUS151,FOCUS151,1612.00,,
Summit NOVA35 11.7 Cu. Ft. Flat Top White Chest Style Ice Cream Freezer - 115 Volts,Summit,NOVA35,NOVA35,1367.00,,
"Admiral Craft BDCF-15-CG 60.24"" W Hinged Lid Black Diamond Chest Freezer",Admiral Craft,BDCF-15-CG,BDCF-15-CG,1271.55,,
Summit FOCUS106 9.5 Cu. Ft. Angled Top White Chest Style Ice Cream Freezer - 115 Volts,Summit,FOCUS106,FOCUS106,1206.00,,
"Omcan USA 45292 34"" W White Aluminum Flat Glass Ice Cream Freezer",Omcan USA,45292,45292,1776.55,,
"Beverage Air NC28HC-1-W 27.88""W Novelty Case",Beverage Air,NC28HC-1-W,NC28HC-1-W,2101.74,,
"Omcan USA 45291 29"" W White Aluminum Flat Glass Ice Cream Freezer",Omcan USA,45291,45291,1615.03,,
Summit NOVA22 7.2 Cu. Ft. Flat Top White Chest Style Ice Cream Freezer - 115 Volts,Summit,NOVA22,NOVA22,1207.00,,
"Turbo Air TFS-20F-N 57.38""W Flat Lid Glass Door Top Open Island Freezer",Turbo Air,TFS-20F-N,TFS-20F-N,5915.12,,
"Master Bilt MSC-31AN 31""W COLDIN-3 Display Freezer",Master Bilt,MSC-31AN,MSC-31AA,1348.05,,
"Beverage Air NC51HC-1-W 50.38""W Novelty Case",Beverage Air,NC51HC-1-W,NC51HC-1-W,2322.17,,
"Beverage Air NC60HC-1-W 60.19""W Novelty Case",Beverage Air,NC60HC-1-W,NC60HC-1-W,2632.93,,
Summit NOVA53 16.6 Flat Top White Chest Style Ice Cream Freezer - 115 Volts,Summit,NOVA53,NOVA53,1704.00,,
Summit FOCUS171 17.1 Cu. Ft. Angled Top White Chest Style Ice Cream Freezer - 115 Volts,Summit,FOCUS171,FOCUS171,1743.00,,
"Beverage Air UCF36AHC 36""W Two-Section Stainless Steel Door Undercounter Freezer",Beverage Air,UCF36AHC,UCF36AHC,3651.28,,
"Turbo Air MUF-48-N 48.25""W Two-Section M3 Series Undercounter Freezer",Turbo Air,MUF-48-N,MUF-48-N,3746.21,,
"Turbo Air JUF-60-N 59""W Two-Section Stainless Steel Door J Series Side Mount Undercounter Freezer",Turbo Air,JUF-60-N,JUF-60-N,4687.43,,
